Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?
328,"Aditya Birla Science & Technology Company Ltd., Mumbai",Mumbai,Chemical,Unavailable,Unavailable,Unavailable,No
4876,AltMat,Ahmedabad,Chemical,"A1 , A4 , AB",10000,0,No
672,Central Leather Research Institute (CLRI),Chennai,Chemical,"A3 , A7 , A8 , AA",0,0,No
445,Grasim Industries Ltd.,Nagda,Chemical,"A1 , A4 , A8",8500,8500,No
466,Indian Institute of Petroleum,Dehradun,Chemical,A1,0,0,No
612,"SRF Ltd., Gurgaon",Gurgaon,Chemical,Unavailable,Unavailable,Unavailable,No
4887,Zwende Design Tech Pvt Ltd,Bangalore,Chemical,"A2 , B4 , B5",15000,0,No
4907,COVIAM Technologies,Bangalore,,A1,26000,0,No
3880,ABB Global Industries and Services Private Limited,Bangalore,Electronics  ,"A4 , A7 , AB",25000,0,No
4898,ALW Lighting India Pvt Ltd,Ludhiana,Electronics  ,Any,26000,0,No
4899,ALW Lighting India Pvt Ltd- Nontech,Ludhiana,Electronics  ,"A3 , A4 , A8 , AA , AB , B5",24000,0,No
674,Central Electronics Engineering Research Institute,Pilani,Electronics  ,"A3 , A7 , A8 , AA",0,0,No
3953,Cisco Systems (India) Pvt. Ltd. - Hardware ,Bangalore,Electronics  ,"A3 , A8 , AA , AnyA3 , AnyA8 , AnyAA",70000,90000,No
3803,Door Sabha Nigam Ltd.,Chennai,Electronics  ,"A4 , AB",25000,0,No
455,Hourglass Research,Mumbai,Electronics  ,"A3 , A8",20000,0,No
4886,Integrated Active Monitoring Pvt. Ltd. - Product & Business Dev.,Pune,Electronics  ,"A1 , A4 , B3",6000,0,No
4885,Integrated Active Monitoring Pvt. Ltd.,Pune,Electronics  ,"A3 , A7 , A8 , AA",8000,0,No
3225,Intel India Technology ,Bangalore,Electronics  ,"AnyA3 , AnyA7 , AnyA8 , AnyAA , AnyC6",30000,0,No
3964,Micron Technology India Operations,Hyderabad,Electronics  ,"A3 , A7 , A8 , AA",0,0,No
536,National Instruments Systems (India) Pvt. Ltd.,Bangalore,Electronics  ,A7,30000,0,No
19,Nvidia Graphics - Hardware,Bangalore,Electronics  ,"A3 , A8 , AA , AnyA3 , AnyA7 , AnyA8 , AnyAA",35000,35000,No
552,Nvidia Graphics - Hardware,Hyderabad,Electronics  ,"A3 , AA",35000,0,No
2655,Pyrotech Electronics Pvt. Ltd.,Udaipur,Electronics  ,"A3 , A7 , A8 , AA",0,0,No
4848,Qzense labs Pvt. Ltd.,Bangalore,Electronics  ,A3,20000,0,No
2998,Samsung Semiconductor India R&D Center-Hardware,Bangalore,Electronics  ,"B4A3 , B5A3 , B4A8 , B5A8",50000,50000,No
4001,Samsung Semiconductor India Research -Software,Bangalore,Electronics  ,"B4A3 , B5A3 , B4A7 , B5A7 , B4A8 , B5A8",50000,50000,No
4817,Sleepiz (India) Pvt. Ltd.,Pune,Electronics  ,"A7 , AA",40000,0,No
2942,Synopsys India Pvt. Ltd.,Hyderabad,Electronics  ,"A3 , A7 , A8 , AA",30000,0,No
3310,Texas Instruments (I) Pvt. Ltd,Bangalore,Electronics,Unavailable,Unavailable,Unavailable,No
2912,Texas Instruments (I) Pvt. Ltd. -Analog,Bangalore,Electronics  ,"A8 , AA , H123 , B5A8 , B5AA , C6AA",45000,45000,No
2819,Xilinx India Technology Services Pvt. Ltd.,Hyderabad,Electronics  ,"A3 , A7 , A8 , AA , Any , AAAA",0,0,No
4916,Express Stores - Non tech,Gurgaon,,"A1 , A2 , A3 , A4 , A5 , A7 , A8",20000,0,No
4915,Express Stores - Tech,Gurgaon,,"A1 , A2 , A3 , A4 , A5 , A7 , A8",30000,0,No
4905,Eyenetlabs,Trivandrum,,"A3 , A7 , A8 , C6",10000,0,No
3617,AlmaConnect,Gurgaon,Finance and Mgmt,Any,20000,0,No
4081,BNY Mellon Technology,Chennai,Finance and Mgmt,"A3 , A4 , A7 , A8 , AA , AB",60000,0,No
4082,BNY Mellon Technology,Pune,Finance and Mgmt,"A3 , A4 , A7 , A8 , AA , AB , Any , B4",60000,0,No
4859,Bunch Microtechnologies Pvt Ltd,Noida,Finance and Mgmt,Any,20000,0,No
3993,DBOI - AC,Pune,Finance and Mgmt,AnyB3,30000,0,No
4831,DBOI - Automation,Pune,Finance and Mgmt,AnyA7,30000,0,No
3829,DBOI - Business Finance,Mumbai,Finance and Mgmt,Any,30000,0,No
3827,DBOI - Counterparty Credit Ratings,Mumbai,Finance and Mgmt,Any,30000,0,No
4830,DBOI - Financial Analytics,Pune,Finance and Mgmt,"A7 , B3 , C7",30000,0,No
3825,DBOI - Market Risk Analysis & Control,Mumbai,Finance and Mgmt,Any,30000,0,No
3989,DBOI - Risk Metrics Analytics ,Pune,Finance and Mgmt,AnyB3,30000,0,No
3327,DMI Finance Private Limited ,New delhi,Finance and Mgmt,-,35000,0,No
3898,Dunzo Digital Pvt. Ltd.,Bangalore,Finance and Mgmt,"A1 , A2 , A3 , A4 , A7 , A8 , AA",30000,0,No
4075,Ecom Express - Business Analysis,Delhi,Finance and Mgmt,-,0,0,No
4878,Emptycup Innovation Pvt. Ltd. - Non tech,Bangalore,Finance and Mgmt,Any,20000,0,No
4893,FamPay Pvt. Ltd. - Marketing,Bangalore,Finance and Mgmt,Any,10000,0,No
4894,FamPay Pvt. Ltd. - Product,Bangalore,Finance and Mgmt,Any,15000,0,No
3874,GenY medium,Hyderabad,Finance and Mgmt,Any,12000,0,No
4902,IMarc Services,Noida,Finance and Mgmt,Any,12000,0,No
3797,"IndiaBuys (Shopero Retail Technologies Pvt. Ltd.),",Hyderabad,Finance and Mgmt,A7,20000,0,No
4865,IndiaBuys - Nontech,Hyderabad,Finance and Mgmt,Any,15000,0,No
468,IndustryARC,Hyderabad ,Finance and Mgmt,"A7 , H103 , H112",25000,25000,No
4829,Invento Markerspaces Pvt. Ltd. (Non tech),Bangalore,Finance and Mgmt,"B3 , D2",15000,0,No
4828,Invento Markerspaces Pvt. Ltd.,Bangalore,Finance and Mgmt,"A3 , A4 , A7 , H103 , H106 , H141 , H313",20000,0,No
3922,JPMS (Fintech) CIB R&A Banking (CRG),Mumbai,Finance and Mgmt,A7,50000,0,No
3925,JPMS (Technology - IT) GR&C Wholesale Credit Solutions - Data Science - Fintech,Mumbai,Finance and Mgmt,"A3 , A7 , AA",100000,0,No
4870,JPMS - GR&C AM Investment Market & Principle Risk,Bangalore,Finance and Mgmt,"B3 , B4",75000,0,No
4884,JPMS CIB R&A - Markets (Derivatives Analyst Group,Mumbai,Finance and Mgmt,"A7 , B3 , B4 , B5",75000,0,No
