"Station Name
",City
Indus Insights and Analytical Services Pvt Ltd,Gurugram
Revos - Firmware,Bengaluru
A.T. Kearney Consulting (India) Private Limited,Gurugram
Addverb Technologies Pvt Ltd,Noida
Aditya Birla Science & Technology Company Ltd.,Mumbai
Adobe Systems,Bengaluru
Aerchain (Tech),Bengaluru
Aerchain - Non Tech,Bengaluru
AFour Technologies Pvt. Ltd.,Pune
AgNext Technologies,Mohali
Ai Palette,Bengaluru
AiDash System India Private Limited,Bengaluru
Airmeet - Account Management Analysis,Bengaluru
Airmeet - Business Analysis &Strategy,Bengaluru
Airmeet - Business Development,Bengaluru
Airmeet - Data Analytics,Bengaluru
Airmeet - Sales Enablement and Product Marketing,Bengaluru
AlmaConnect,Gurugram
AM PROTOTYPING LABS PVT LTD,Mumbai
Amazon - Machine Learning,Hyderabad
Amazon Development Center,Hyderabad
Amazon Development Center,Chennai
Amazon Development Center,Bengaluru
Amazon Development Center,New delhi
Amazon Development Center,Mumbai
American Express - AI Lab,Bengaluru
American Express - AI Labs,Gurugram
American Express - Credit & Fraud Risk (Capabilities),Gurugram
American Express - Credit & Fraud Risk (Capabilities),Bengaluru
American Express - Customer Servicing Management (Project 1),Gurugram
American Express - Customer Servicing Management (Project 2),Gurugram
Analog Devices India Pvt. Ltd.,Bengaluru
ANS Commerce - Business Growth & Product,Gurugram
ANS Commerce - Non tech,Gurugram
ANS Commerce - Tech,Gurugram
ApexPlus Technologies,Hyderabad
AppBroda Non Tech. FZCO,UAE
AppBroda Tech. FZCO,UAE
Apple India Pvt Limited,Hyderabad
Appviewx,Bengaluru
Aptiv Components India Private Limited ( Delphi Automotive Systems Private Limited),Bengaluru
Arista Networks India Private Limited,Bengaluru
Arm Soft Technologies,Chennai
Arup India Pvt. Ltd.,Hyderabad
Asanify Technologies Pvt Ltd-Business Development,Kolkata
Asanify Technologies Pvt. Ltd. -Marketing Operations and Growth,Kolkata
Asanify Technologies Pvt. Ltd.-Product Management,Kolkata
Asanify Technologies Pvt. Ltd._Full Stack Software Engineering,Kolkata
Ascendo. AI,California
Atkins,Gurugram
Atkins,Bengaluru
Atyati Technologies,Bengaluru
Auquan India Pvt Ltd,Bengaluru
Avaamo,Bengaluru
Avail Finance,Bengaluru
Avanti Fellows,New Delhi
AwanTunai,INDONESIA
Axiado India Pvt. Ltd.,Hyderabad
Bajaj Auto,Pune
Bambinos Learning solutions pvt. Ltd.,Bengaluru
Bayfront Capital Advisors Pte Ltd,Singapore
Bharat Forge Ltd,Pune
Birla Carbon,Renukoot
Birla Carbon,Chennai
BiteSpeed,Gurugram
BlackRock Services,Gurugram
Bloomreach Technologies Pvt. Ltd,Bengaluru
Blue Jeans Network India Pvt. Ltd.,Bengaluru
Bright Champs-(Formerly MySmart Price) - Non Tech,Bengaluru
Bright Champs-(Formerly MySpmart Price) (Tech),Bengaluru
BukuKas,INDONESIA
Bundl Technologies Private Limited (Swiggy) - Tech,Bengaluru
Cambium Networks Pvt.Ltd,Bengaluru
CEG Limited,Jaipur
Central Electronics Engineering Research Institute,Chennai
Central Electronics Engineering Research Institute,Pilani
Central Leather Research Institute (CLRI),Chennai
Central Road Research Institute,New delhi
Centre for Artificial Intelligence & Robotics,Bengaluru
Centre for Development of Advanced Computing (C-DAC),Pune
Chambal Fertilizers & Chemicals Limited,Kota
Chara Technologies,Bengaluru
Cisco Systems (India) Pvt. Ltd - Software Engineering,Bengaluru
Cisco Systems (India) Pvt. Ltd. - Hardware,Bengaluru
Citrix,Bengaluru
CL Educate Ltd.,New delhi
Clarivate Analytics,Bengaluru
CleverTap Private Limited,Mumbai
CloudFiles India Pvt. Ltd.,Bengaluru
Cohesity Storage Solutions India Pvt. Ltd.,Bengaluru
"CohnReznick Capital, LLC",Mumbai
Collabera Technologies,Bengaluru
CommerceIQ,Bengaluru
Confluent India Pvt Ltd.,Bengaluru
ConnectedH,Gurugram
Couture AI,Bengaluru
Credit Suisse - Equity Research,Mumbai
Credit Suisse - Finance Change,Pune
Credit Suisse - Global Market Risk Management,Mumbai
Credit Suisse - Group Operations,Pune
Credit Suisse - Non-Financial Risk Management,Mumbai
Credit Suisse - Prime Services,Mumbai
Credit Suisse - Product Control,Pune
Credit Suisse - Quantitative Analysis & Technology,Mumbai
"Credit Suisse - Risk & Finance Data Analytics, Reporting",Mumbai
"Credit Suisse - Risk & Finance Data Analytics, Reporting",Pune
"Credit Suisse - Sustainability, Research & Investment Solutions (SRI) - IS&P Global Research",Mumbai
Credit Suisse- Investment Banking and Capital Markets,Mumbai (Worli)
CredR,Bengaluru
Cresen Solutions/Conera Technologies,Bengaluru
Crewscale (Goscale Technologies Pvt. Ltd.) - Digital Marketing,Bengaluru
Cropin Technologies,Bengaluru
CultureMonkey,Bengaluru
DataZymes Analytics,Bengaluru
DBOI - Climate Risk Analysis,Mumbai
DBOI - ERM - Automation,Mumbai
DBOI - Non-Financial Risk Management,Mumbai
Deep Vision Systems Pvt Ltd,Hyderabad
Delightful Gourmet Pvt Ltd (Licious),Bengaluru
Dell R&D,Bengaluru
Development Consultants Pvt. Ltd. (DCPL),Mumbai
Development Consultants Pvt. Ltd. (DCPL),Kolkata
Dezerv Investments Pvt. Ltd. - Tech,Mumbai
Dezerv Investments Pvt. Ltd,Mumbai
DigiCert Security India Pvt Ltd,Bengaluru
Dinero (NeoMercury Innovations Pvt. Ltd) - Non Tech,Hyderabad
Dinero (NeoMercury Innovations Pvt. Ltd) - Tech,Hyderabad
Disney+ Hotstar,Mumbai
Divgi TorqTransfer Systems Pvt. Ltd. - Bhosari,Pune
Divgi TorqTransfer Systems Pvt. Ltd. - Bhosari,Sirsi
"Dorsch Consult (India) Pvt. Ltd.,",Mumbai
Dotpe,Gurugram
Doubtnut - Non Tech,Gurugram
Doubtnut - Tech,Gurugram
Dover India Pvt Ltd,Bengaluru
Dr. Reddys Laboratories,Hyderabad
Dreamplug Technologies,Bengaluru
DRIFE Technologies Private Limited,Bengaluru
Dunzo Digital Pvt.Ltd,Bengaluru
"DuPont de Nemours, Inc.",Mumbai
E2open Software India Pvt Ltd,Bengaluru
Eaglytics Co.,Gurugram
EDA (Mentor Graphics),Noida
Eightfold AI India Pvt Ltd,Noida
Eltropy,Bengaluru
Eltropy -Non Tech,Bengaluru
Ericsson Global India Pvt. Ltd.,Bengaluru
Escorts Limited,Faridabad
Espressif Systems,Pune
Everwell Health Solution,Bengaluru
EVQ Technologies Pvt Ltd (Brand Name hopcharge),Gurugram
EXL Service Pvt Ltd,Gurugram
Faurecia,Gurugram
Filo Edtech INC - Non Tech,Gurugram
Filo Edtech INC - Tech,Gurugram
Flexiple Tech - Non Tech,Delhi
Flipkart (Software Development),Bengaluru
Flipkart Internet Pvt Ltd - Business Analyst,Bengaluru
Flipkart Internet Pvt Ltd - Business Development,Bengaluru
Flipkart Internet Pvt Ltd - Product Management,Bengaluru
Florence Capital (Hora.ai),Gurugram
Fraazo (Freshvnf ideas Pvt ltd ) - Non Tech,Mumbai
Fraazo (Freshvnf ideas Pvt ltd) - Tech,Mumbai
Franklin Templeton,Hyderabad
GE Healthcare,Bengaluru
GE India Technology Centre,Bengaluru
Genpact,Bengaluru
Genus Power Infrastructures Ltd,Jaipur
GenY medium,Hyderabad
GEP Solutions Pvt. Ltd.,Navi mumbai
Get Paz Solutions Pvt Ltd - Non Tech,Bengaluru
Get Paz Solutions Pvt Ltd - Tech,Bengaluru
Goldman Sachs - Investment Banking,Bengaluru
Goldman Sachs India Pvt. Ltd. - Operations,Bengaluru
Goodera - Product Management,Bengaluru
"Goodera -IT,Software",Bengaluru
"Goodera Growth Strategy,Customer Experience(Business Analyst)",Bengaluru
Google India,Bengaluru
GradRight Edtech Private Limited,Hyderabad
Grasim Industries Ltd.,Nagda
Grasim Polyfiber,Harihar
Greenizon Agritech Consultancy Pvt Ltd,Bengaluru
GreyOrange Ltd,Gurugram
Groupon Shared Services Pvt Ltd,Bengaluru
Groww - Software Development,Bengaluru
Harness,Bengaluru
Headout,Bengaluru
HealthKart (Brightlifecare Pvt. Ltd.),Gurugram
HelloThinkster,Bengaluru
HERE Technologies India Pvt. Ltd,Mumbai
Hevo Technologies India Pvt. Ltd.,Bengaluru
Hexanika Pvt Ltd,Pune
Hindustan Unilever Research Centre,Bengaluru
Hourglass Research,Mumbai
HSBC,Bengaluru
Hugosave,Hyderabad
IBM India Software Group,Bengaluru
iDrive Capital,Bengaluru
iManage LLC,Bengaluru
IMarc Services,Noida
Indian Institute of Petroleum,Dehradun
Indian Institute Of Remote Sensing,Dehradun
Indira Gandhi Centre for Atomic Research,Kalpakkam
INDmoney,Gurugram
Infineon,Bengaluru
InMobi - Software Development,Bengaluru
InMobi- Business Analyst,Bengaluru
Innovium,Bengaluru
Integrated Active Monitoring Pvt. Ltd.,Pune
Intel India Technology,Bengaluru
Interview Kickstart LLP,Bengaluru
Inzpera Healthsciences Ltd.,Mumbai
IQVIA,Bengaluru
IQVIA,Gurugram
Isgec Heavy Engineering Ltd,Yamunanagar
"IUDX Program Unit, Indian Institute of science - Data Kaveri",Bengaluru
Jio Platforms Limited,Hyderabad
Johnson Controls,Pune
JPMC - GR&C Model Risk Governance and Review â€“ Quality Assurance,Mumbai
JPMC - GR&C Model Risk Governance and Review- COO,Mumbai
