Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Facilities (Raw),Projects,Have Accommodation?
6383," Indus Insights and Analytical Services Pvt Ltd",Gurugram ,Finance and Mgmt,"A1 , A2 , A3 , A4 , A7 , A8 , AA , AB",100000,0,Unavailable,,No
6307," Revos - Firmware",Bengaluru ,IT,"A3 , AA",15000,0,Unavailable,,No
6363,A.T. Kearney Consulting (India) Private  Limited,Gurugram ,Finance and Mgmt,Any,50000,0,Unavailable,,No
6299,Addverb Technologies Pvt Ltd,Noida,IT,"A3 , A7 , A8 , AA , C6",25000,0,Unavailable,,No
328,Aditya Birla Science & Technology Company Ltd.,Mumbai,Chemical,Any,0,0,"Travel: -
RemarkforAccommodation: 
AccomAddressforGirls: 
StartTime:  9:00AM
Status: Active
Stationary: -
OtherInfo: -
Stipend: 10000
StipendForPG: 0
ContactDetailsForBoys: 
AccomAddressforBoys: 
ToOffice: -
Medical: -
FieldTA: -
FacultyId: 0
ContactDetailsForGirls: 
TillTime:  5:00PM
Accomodation: Students to make their own arrangements
OnOffice: -
StationAddress: Aditya Birla Science and Technology Co., Ltd
Plot No. 1 & 1-A/1, MIDC Taloja, Taluka Panvel, Dist. Raigad. Pin 410 208
Maharashtra, India
StationFacilitiesId: 9842
CompanyId: 286
FieldDA: -
SubsidizedLunch: -
Weekdays: 
","Project: 0
Title: -
Description: -
Skills:  - 
Students Required: 100
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: TBD
Description: TBD
Skills:  - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0

",No
762,Adobe Systems,Bengaluru,IT,A7,100000,0,Unavailable,,No
3779,Aerchain (Tech),Bengaluru,IT,Any,0,0,"Medical: No Facilities
Weekdays: Sunday
ContactDetailsForBoys: 
AccomAddressforBoys: 
AccomAddressforGirls: 
StartTime: 10:00AM
Status: Active
StationFacilitiesId: 9533
TillTime:  7:00PM
FieldDA: -
Stationary: -
OtherInfo: Technical project has stipend of 30K and Program Management project has stipend of 20K for UG students.
OnOffice: -
FieldTA: -
SubsidizedLunch: -
Stipend: 30000
FacultyId: 980
StipendForPG: 0
RemarkforAccommodation: 
Accomodation: Students to make their own arrangements
Travel: -
StationAddress: Aerchain, Bangalore
ContactDetailsForGirls: 
CompanyId: 3496
ToOffice: -
","Project: 0
Title: Web application development
Description: As an enterprise SaaS product,
work will be adding new
features for the core product
wrt. functionality and
customer requirements.

Skills: Data Analytics , Database , Database systems , Javascript (Reactjs and Nodejs), , Analytical and Problem solving skills , communication skill
Students Required: 2
Min CGPA: 0
Max CGPA: 0

",No
5117,Aerchain - Non Tech,Bengaluru,Finance and Mgmt,-,0,0,"FacultyId: 0
ContactDetailsForBoys: 
AccomAddressforBoys: 
Travel: -
StationAddress: SF03, Aedifice Grandeur, 29th
Main Road, BTM Stage 2,
Bangalore - 560076, Karnataka
OtherInfo: -
RemarkforAccommodation: 
StartTime: 10:00AM
OnOffice: -
ToOffice: -
SubsidizedLunch: -
FieldDA: -
Stipend: 20000
StipendForPG: 0
ContactDetailsForGirls: 
CompanyId: 4820
Accomodation: -
FieldTA: -
Stationary: -
Weekdays: Sunday
StationFacilitiesId: 9685
AccomAddressforGirls: 
TillTime:  7:00PM
Status: Active
Medical: -
","Project: 0
Title: Program Management
Description: Building processes and
implementing tools for key
areas in sales, customer
success & project
management.* Other soft skill : Exposure to Sales / Customer
success processes is a plus. * Expected learning : Ability to define and setup
processes in multiple business
units within the company
Skills: Strong Communication & Analytical Skills
Students Required: 1
Min CGPA: 0
Max CGPA: 0

",No
2767,AFour Technologies Pvt. Ltd.,Pune,IT,Any,50000,50000,"FieldDA: -
Medical: -
SubsidizedLunch: -
StationAddress: Kapil Zenith IT Park, 5ht Floor, Bavdhan (Kh.), Off Mumbai Bangalore Highway, Pune - 411 021
OnOffice: -
FieldTA: -
Travel: No Transport
RemarkforAccommodation: Students are likely to work from home. However WFH situation will be more clear as we get near the PS term.
AccomAddressforBoys: 
StartTime: 10:00AM
TillTime:  7:00PM
Accomodation: Students to make their own arrangements
ContactDetailsForBoys: 
ContactDetailsForGirls: 
CompanyId: 2493
Status: Active
ToOffice: -
StationFacilitiesId: 9486
Stipend: 50000
FacultyId: 1133
StipendForPG: 0
AccomAddressforGirls: 
Stationary: -
Weekdays: Saturday , Sunday
OtherInfo: Since students are likely to work from home good availability of internet as well as electricity is a must.
","Project: 0
Title: Design and develop smart data analytics components for an existing enterprise software system
Description: Current system supports working of different departments (e. g. HR, Finance, IT, Engineering). System needs to be evolved to add more features. System also needs smart analytical components that can provide important insights to the management based on the data in the system.
Skills: .Net , AWS , Azure , C# , Computer programming Skill , Dockers , Java  , Java/Python , Javascript , Python , R/BDMS, SQL , SQl  ,  Problem Solver, Self-starter  , Problem solving abilities
Students Required: 2
Min CGPA: 0
Max CGPA: 0

",No
5290,AgNext Technologies,Mohali,IT,Any,0,0,"ContactDetailsForGirls: 
AccomAddressforBoys: 
Medical: -
Stationary: -
Weekdays: Saturday , Sunday
Stipend: 20000
AccomAddressforGirls: 
OnOffice: -
Travel: -
FacultyId: 0
ContactDetailsForBoys: 
StartTime:  9:30AM
Status: Active
Accomodation: Students to make their own arrangements
FieldTA: -
SubsidizedLunch: -
StationAddress: C-184, Industrial Area, Sector 75, Mohali,Punjab-140308
StationFacilitiesId: 9895
RemarkforAccommodation: 
CompanyId: 4993
TillTime:  6:30PM
ToOffice: -
FieldDA: -
OtherInfo: -
StipendForPG: 0
","Project: 0
Title: Visio
Description: Food Grain Assessment using Computer
Vision Technologies * Any other requirements : Comfortable/Quick Learner with LINUX OS,

GIT
Should have done atleast a project in
Computer Vision related to Image
Classification, Semantic Segmentation,
Object Detection. Preference will be given
to those who have done these type of
project without using Deep Learning or
showcased other techniques, alongside DL,
in their project. * Expected learning : 1. Application of Computer Vision
techniques to real world dataset
2. Deployment of AI technology in real
world in large scale.(course should include Matrices, Calculus,
Random Variable),
Skills: Keras , Matplotlib , Numpy , OpenCv , Pandas , PyQT5 , Python , SQl  , Tensorflow
Students Required: 3
Min CGPA: 0
Max CGPA: 0

",No
