Station Name,City
Aditya Birla Capital,Mumbai
Aditya Birla Capital - Non Tech,Mumbai
Aditya Birla Capital - Tech,Mumbai
Aditya Birla Science & Technology Company Ltd.,Mumbai
AECOM,Mumbai
Aerchain - Non Tech,Bangalore
Aerchain (Tech),Bangalore
AFour Technologies Pvt. Ltd.,Pune
Airbnb Capability Center,Gurgaon
Airmeet,Bangalore
AlmaConnect,Gurgaon
AlphaICs India Pvt Ltd,Bangalore
Altair,Hyderabad
Altair,Pune
Altair - Software Development,Bangalore
Amazon - Machine Learning,Hyderabad
AMD India Pvt Ltd,Bangalore
American Express - AI Labs,Gurgaon
American Express - Credit & Fraud Risk (Capabilities),Gurgaon
ANS Commerce - Business Growth & Product,Gurgaon
ANS Commerce - Non tech,Gurgaon
ANS Commerce - Tech,Gurgaon
Apnatime Tech Pvt. Ltd,Bangalore
Apollo Tyres,Gurgaon
Apple India Pvt Limited,Hyderabad
Applicate IT Solutions Pvt Ltd,Gurgaon
Aramex International,Mumbai
ARI Global solutions,Pune
Arkam Ventures,Bangalore
ARM Embedded Technologies Private Limited,Bangalore
Arm Soft Technologies,Chennai
Asanify Technologies Pvt Ltd-Business Development,Kolkata
Asanify Technologies Pvt. Ltd._Full Stack Software Engineering,Kolkata
Asanify Technologies Pvt. Ltd.-Product Management,Kolkata
Ascendo. AI,California
Asteria Aerospace Pvt. Ltd.,Bangalore
Atyati Technologies,Bangalore
Avaamo,Bangalore
Axtria India Pvt Ltd,Gurgaon
Bajaj Auto,Pune
Bambinos Learning solutions pvt. Ltd.,Bangalore
Bharat Forge Ltd,Pune
Bisquare Systems Pvt. Ltd. - Onsite,Noida
Bloomreach Technologies Pvt. Ltd,Bangalore
Blue Jeans Network India Pvt. Ltd.,Bangalore
Blue Yonder (JDA),Hyderabad
Blue Yonder (JDA),Bangalore
BNY Operations,Pune
Brane Enterprises Pvt Ltd,Hyderabad
Bright Champs-(Formerly MySmart Price) - Non Tech,Bangalore
Bright Champs-(Formerly MySpmart Price) (Tech),Bangalore
Bundl Technologies Private Limited (Swiggy) - Nontech,Bangalore
Bundl Technologies Private Limited (Swiggy) - Tech,Bangalore
Cambium Networks Pvt.Ltd,Bangalore
CampK12,New Delhi
Capcount Solutions Pvt. Ltd,Delhi
Capillary Technologies,Bangalore
CASHe,Hyderabad
Central Electronics Engineering Research Institute,Pilani
Central Electronics Engineering Research Institute,Chennai
Central Leather Research Institute (CLRI),Chennai
Central Road Research Institute,New Delhi
Centre for Artificial Intelligence & Robotics,Bangalore
Century Rayon,Mumbai
Cisco Systems (India) Pvt. Ltd - Software Engineering,Bangalore
Cisco Systems (India) Pvt. Ltd. - Hardware,Bangalore
Class 21A Pvt. Ltd.,Gurgaon
Class Plus (Non-Tech),Noida
Classplus,Noida
ClearTax,Bangalore
Cognizant Technology Solutions,Gurugram
Cohesity Storage Solutions India Pvt. Ltd.,Bangalore
CommerceIQ,Bangalore
CommerceIQ - Nontech,Bangalore
Couture AI,Bangalore
Credit Suisse - Equity Research,Mumbai
Credit Suisse - Finance Change,Pune
Credit Suisse - Global Market Risk Management,Mumbai
Credit Suisse - Group Operations,Pune
Credit Suisse - Non-Financial Risk Management,Mumbai
Credit Suisse - Quantitative Analysis & Technology,Mumbai
"Credit Suisse - Risk & Finance Data Analytics, Reporting",Pune
"Credit Suisse - Risk & Finance Data Analytics, Reporting",Mumbai
Credit Suisse- Investment Banking and Capital Markets,Mumbai (Worli)
DataZymes Analytics,Bangalore
DBOI - Business Finance,Mumbai
DBOI - Counterparty Credit Ratings,Mumbai
DBOI - Credit Risk Data Unit (CRDU),Pune
DBOI - Enterprise Risk Management,Mumbai
DBOI - ERM - Automation,Mumbai
DBOI - Finance Change,Mumbai/Pune
DBOI - Global Valuations Group,Mumbai
DBOI - Market Risk Analysis & Control,Mumbai
Delightful Gourmet Pvt Ltd (Licious),Bangalore
Delightful Gourmet Pvt Ltd (Licious) - Non Tech,Bangalore
Dell R&D,Bangalore
Dell Technologies,Pune
Development Consultants  Pvt. Ltd. (DCPL),Mumbai
DevRev Cloud India Pvt. Ltd.,Bangalore
Dezerv Investments Pvt. Ltd,Mumbai
DHIO Research,Bangalore
DigiCert Security India Pvt Ltd,Bangalore
"Divgi TorqTransfer Systems Pvt. Ltd, Shivare",Pune
Divgi TorqTransfer Systems Pvt. Ltd.,Sirsi
Divgi TorqTransfer Systems Pvt. Ltd. - Bhosari,Pune
Do it Yourself Academy,Chennai
Dreamplug Technologies,Bangalore
Dristi Technologies,Bangalore
DSG Consumer Partners,Singapore
Dunzo Digital Pvt.Ltd,Bangalore
