Pref.No,Station Name,City,Acco.
2,Indian Institute of Petroleum,Dehradun,No
1,Century Rayon,Mumbai,No
3,TATA Communications Ltd,Chennai,No
4,Aditya Birla Capital,Mumbai,No
5,Bundl Technologies Private Limited (Swiggy) - Nontech,Bangalore,No
6,Franklin Templeton,Hyderabad,No
7,Genpact,Bangalore,No
8,Goldman Sachs India Pvt. Ltd.  - Operations,Bangalore,No
9,Goscale Technologies Pvt. Ltd. - Digital Marketing,Bangalore,No
10,Gradcapital Advisors Pvt. Ltd.,Bangalore,No
11,iDrive Capital,Bangalore,No
12,Impactdash,Dehradun,No
13,ITC,Hyderabad,No
14,Jubilant FoodWorks Ltd.,Noida,No
15,MapMyIndia - Sales,New delhi,No
16,Morningstar - Index Technology,Mumbai,No
17,Pepper Content Pvt. Ltd.,Mumbai,No
18,Society for Health Information Systems Programme,Noida,No
19,Total Environment Building Systems Private Limited,Bangalore,No
20,Arm Soft Technologies,Chennai,No
21,Dristi Technologies,Bangalore,No
22,Ernst & Young Services Private Limited,Gurgaon,No
23,Founding Years Learning Solutions Pvt. Ltd.,Bangalore,No
24,IDfy (formerly Baldor Technologies Pvt Ltd),Mumbai,No
25,Mocxa Health Pvt. Ltd. - Non Tech,Bangalore,No
26,MoveInSync Technology Solutions,Bangalore,No
27,One97 Communications (Paytm),Noida,No
28,Rakuten Inc,Bangalore,No
29,UST Global -,Hyderabad,No
30,UST Global- Chennai,Chennai,No
31,UST Global- Trivandrum,Trivandrum,No
32,Zendrive India Pvt Ltd,Bangalore,No
33,Zeta (Directi),Bangalore,No
34,Bajaj Auto,Pune,No
35,DHIO Research,Bangalore,No
36,Divgi TorqTransfer Systems Pvt. Ltd.,Sirsi,No
37,EnSci - A Unit of Weir Minerals India Pvt. Ltd.,Bangalore,No
38,HCL Technologies Ltd (Formerly Geometric Ltd),Mumbai,No
39,John F Welch Technology Center (GE),Bangalore,No
40,Mercedes Benz,Bangalore,No
41,REYNLAB Technologies India Pvt. Ltd.,Chennai,No
42,Titan Industries Ltd.,Hosur,No
43,Zetwerk Manufacturing Businesses Pvt. Ltd.,Bangalore,No
44,Zetwerk Manufacturing Businesses Pvt. Ltd.,Coimbatore,No
45,Zetwerk Manufacturing Businesses Pvt. Ltd.,Delhi,No
46,Aditya Birla Science & Technology Company Ltd.,Mumbai,No
47,AECOM,Mumbai,No
48,Apollo Tyres,Gurgaon,No
49,Bharat Forge Ltd,Pune,No
50,Blue Jeans Network India Pvt. Ltd.,Bangalore,No
51,Couture AI,Bangalore,No
52,"Divgi TorqTransfer Systems Pvt. Ltd, Shivare",Pune,No
53,Divgi TorqTransfer Systems Pvt. Ltd. - Bhosari,Pune,No
54,Emptycup Innovation Pvt. Ltd. - Non tech,Bangalore,No
55,Grey Orange Robotics Pvt. Ltd.,New delhi,No
56,Integrated Active Monitoring Pvt. Ltd.,Pune,No
57,Intel India Technology,Bangalore,No
58,Lowe Services India Pvt.Ltd,Bangalore,No
59,Mocxa Health Pvt. Ltd - Tech,Bangalore,No
60,National Chemical Laboratory,Pune,No
61,National Council for Cement and Building Materials,Ballabgarh,No
62,National Council of Applied Economic Research,New delhi,No
63,NetApp,Bangalore,No
64,Nucleus Software Export Ltd,Noida,No
65,Nutanix Technologies India Pvt. Ltd.,Bangalore,No
66,Reflexis Systems India Pvt Ltd.,Pune,No
67,Rupifi Non Tech,Bangalore,No
68,Rupifi Tech,Bangalore,No
69,Sattva Media & Consulting Pvt Ltd,Bangalore,No
70,SEDEMAC Mechatornics Pvt. Ltd.,Pune,No
71,Trell Experiences Pvt Ltd,Bangalore,No
72,VenueMonk,Gurgaon,No
73,Versa Cloud ERP Inc - Non Tech,Portland,No
74,Versa Cloud ERP Inc - Tech,Portland,No
75,William O Neil India Pvt Ltd,Bangalore,No
76,Aerchain (Tech),Bangalore,No
77,Aerchain - Non Tech,Bangalore,No
